"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
  Iteracja 76/100 | Cost: 27603 | Time: 22 ms
  Iteracja 77/100 | Cost: 27603 | Time: 22 ms
  Iteracja 78/100 | Cost: 27603 | Time: 28 ms
  Iteracja 79/100 | Cost: 27603 | Time: 20 ms
  Iteracja 80/100 | Cost: 27603 | Time: 18 ms
  Iteracja 81/100 | Cost: 27603 | Time: 27 ms
  Iteracja 82/100 | Cost: 27603 | Time: 27 ms
  Iteracja 83/100 | Cost: 27603 | Time: 23 ms
  Iteracja 84/100 | Cost: 27603 | Time: 26 ms
  Iteracja 85/100 | Cost: 27603 | Time: 26 ms
  Iteracja 86/100 | Cost: 27603 | Time: 20 ms
  Iteracja 87/100 | Cost: 27603 | Time: 23 ms
  Iteracja 88/100 | Cost: 27603 | Time: 22 ms
  Iteracja 89/100 | Cost: 27603 | Time: 20 ms
  Iteracja 90/100 | Cost: 27603 | Time: 20 ms
  Iteracja 91/100 | Cost: 27603 | Time: 20 ms
  Iteracja 92/100 | Cost: 27603 | Time: 21 ms
  Iteracja 93/100 | Cost: 27603 | Time: 21 ms
  Iteracja 94/100 | Cost: 27603 | Time: 20 ms
  Iteracja 95/100 | Cost: 27603 | Time: 22 ms
  Iteracja 96/100 | Cost: 27603 | Time: 22 ms
  Iteracja 97/100 | Cost: 27603 | Time: 21 ms
  Iteracja 98/100 | Cost: 27603 | Time: 22 ms
  Iteracja 99/100 | Cost: 27603 | Time: 21 ms
  Iteracja 100/100 | Cost: 27603 | Time: 20 ms

Podsumowanie dla "wi29.tsp":
  Algorytm:     Genetic_PMX
  Average Cost: 27603
  Best Cost:    27603
  Saved best solution to: dataSol/wi29Genetic_PMX.sol
"data/zi929.tsp"
==================================================
File: "zi929.tsp" (Vertices: 929)
Running Genetic_PMX with 100 iterations...
  Iteracja 1/100 | Cost: 100954 | Time: 54477 ms
  Iteracja 2/100 | Cost: 102442 | Time: 47575 ms
  Iteracja 3/100 | Cost: 100788 | Time: 47155 ms
  Iteracja 4/100 | Cost: 100849 | Time: 48920 ms
  Iteracja 5/100 | Cost: 99997 | Time: 56857 ms
  Iteracja 6/100 | Cost: 101266 | Time: 47474 ms
  Iteracja 7/100 | Cost: 100915 | Time: 44675 ms
  Iteracja 8/100 | Cost: 102286 | Time: 44410 ms
  Iteracja 9/100 | Cost: 101860 | Time: 53008 ms
  Iteracja 10/100 | Cost: 102022 | Time: 44652 ms
  Iteracja 11/100 | Cost: 101690 | Time: 42666 ms
  Iteracja 12/100 | Cost: 101917 | Time: 46498 ms
  Iteracja 13/100 | Cost: 100742 | Time: 48132 ms
  Iteracja 14/100 | Cost: 102319 | Time: 47923 ms
  Iteracja 15/100 | Cost: 101915 | Time: 46278 ms
  Iteracja 16/100 | Cost: 102287 | Time: 44894 ms
  Iteracja 17/100 | Cost: 101908 | Time: 46868 ms
  Iteracja 18/100 | Cost: 101719 | Time: 48741 ms
  Iteracja 19/100 | Cost: 101848 | Time: 48589 ms
  Iteracja 20/100 | Cost: 101681 | Time: 47126 ms
  Iteracja 21/100 | Cost: 101248 | Time: 44281 ms
  Iteracja 22/100 | Cost: 102004 | Time: 55463 ms
